closetime,mc,cs,volume,,
5/4/2012,45768900.15,8957661,403816.9835,,
5/5/2012,44200266.53,8876625,353428.3972,,
5/6/2012,43662314.35,8902664,128372.33,,
5/7/2012,44452252.00,8981886,82455.85358,,
5/8/2012,44733870.00,8946774,293278.3473,,
5/9/2012,45803829.42,9027751,281547.9823,,
5/10/2012,46348325.52,9027054,392226.6082,,
5/11/2012,45293730.59,8938964,152841.6489,,
5/12/2012,45287566.01,8920143,292801.1987,,
5/13/2012,45794669.49,9068413,138049.0416,,
5/14/2012,45643713.07,9020461,113222.8876,,
5/15/2012,45585927.69,9026970,227557.7753,,
5/16/2012,45523230.76,9025761,255834.9335,,
5/17/2012,43724520.25,9015365,295686.912,,
5/18/2012,45061312.32,9084942,162656.3317,,
5/19/2012,44977377.48,9093338,146720.2076,,
